a b S_T
1e-04 0.1 991.3525
1e-04 0.15 998.1425
1e-04 0.2 998.84
1e-04 0.25 999.3
1e-04 0.3 999.5375
1e-04 0.35 999.525
1e-04 0.4 999.6775
1e-04 0.45 999.7175
1e-04 0.5 999.7575
2e-04 0.1 609.1825
2e-04 0.15 902.3275
2e-04 0.2 989.5875
2e-04 0.25 996.515
2e-04 0.3 998.0625
2e-04 0.35 998.8925
2e-04 0.4 999.0975
2e-04 0.45 999.2525
2e-04 0.5 999.365
3e-04 0.1 373.0425
3e-04 0.15 552.83
3e-04 0.2 791.8925
3e-04 0.25 945.5325
3e-04 0.3 987.03
3e-04 0.35 995.2925
3e-04 0.4 997.2775
3e-04 0.45 998.2425
3e-04 0.5 998.4775
4e-04 0.1 216.0325
4e-04 0.15 393.155
4e-04 0.2 566.2225
4e-04 0.25 708.275
4e-04 0.3 897.0075
4e-04 0.35 959.79
4e-04 0.4 983.56
4e-04 0.45 993.31
4e-04 0.5 996.0725
5e-04 0.1 143.83
5e-04 0.15 250.0125
5e-04 0.2 409.53
5e-04 0.25 552.15
5e-04 0.3 659.175
5e-04 0.35 814.9475
5e-04 0.4 890.7775
5e-04 0.45 965.645
5e-04 0.5 984.2925
6e-04 0.1 102.2125
6e-04 0.15 196.565
6e-04 0.2 308.6925
6e-04 0.25 455.0675
6e-04 0.3 554.04
6e-04 0.35 656.5075
6e-04 0.4 772.2225
6e-04 0.45 849.205
6e-04 0.5 924.695
7e-04 0.1 110.8325
7e-04 0.15 198.0525
7e-04 0.2 255.9975
7e-04 0.25 324.76
7e-04 0.3 440.9325
7e-04 0.35 521.7775
7e-04 0.4 636.025
7e-04 0.45 752.8075
7e-04 0.5 838.445
8e-04 0.1 70.2875
8e-04 0.15 122.195
8e-04 0.2 201.295
8e-04 0.25 254.11
8e-04 0.3 351.115
8e-04 0.35 453.5625
8e-04 0.4 538.24
8e-04 0.45 607.305
8e-04 0.5 677.9325
9e-04 0.1 72.6075
9e-04 0.15 107.1325
9e-04 0.2 137.5075
9e-04 0.25 217.395
9e-04 0.3 254.6
9e-04 0.35 330.3675
9e-04 0.4 463.3725
9e-04 0.45 495.28
9e-04 0.5 596.075
0.001 0.1 52.5575
0.001 0.15 93.7775
0.001 0.2 136.3625
0.001 0.25 184.305
0.001 0.3 237.675
0.001 0.35 235.84
0.001 0.4 390.2525
0.001 0.45 438.9575
0.001 0.5 511.8675
